file_in,url
10.1017_s0003055417000284,10.7910/DVN/V7SQRW
10.1017_s0003055417000296,10.7910/DVN/8SR1GY
10.1017_s0003055417000302,10.7910/DVN/0ZRGEE
10.1017_s0003055417000314,10.7910/DVN/OJQJRM
10.1017_s0003055417000326,10.7910/DVN/KGOUYI
10.1017_s000305541700034x,10.7910/DVN/5UMCKK
10.1017_s0003055417000351,10.7910/DVN/ZUMTTN
10.1017_s0003055417000363,10.7910/DVN/SMXWA9
10.1017_s0003055417000375,10.7910/DVN/10HLY3
10.1017_s0003055417000399,10.7910/DVN/PENDX4
10.1017_s0003055417000430,10.7910/DVN/X0ZPH4
10.1017_s0003055417000478,10.7910/DVN/KBRXOR
10.1017_s0003055417000491,10.7910/DVN/VHNHHN
10.1017_s0003055417000533,10.7910/DVN/K3QWZW
10.1017_s0003055417000569,10.7910/DVN/E7OQEY
10.1017_s0003055417000570,10.7910/DVN/SJ8ER9
10.1017_s0003055417000594,10.7910/DVN/XEXISR
10.1017_s0003055417000624,10.7910/DVN/TPGPCR
10.1017_s0003055417000636,10.7910/DVN/UJYEAD
10.1017_s0003055417000648,10.7910/DVN/AI3VM8
10.1017_s0003055417000685,10.7910/DVN/AL1A4Q
10.1017_s0003055417000715,10.7910/DVN/KZIXI0
10.1017_s0003055418000011,10.7910/DVN/DQZXQB
10.1017_s0003055418000011,10.7910/DVN/XFXJVY
10.1017_s0003055418000023,10.7910/DVN/9ZYFBX
10.1017_s0003055418000023,10.7910/DVN/TOE8I1
10.1017_s0003055418000035,10.7910/DVN/CRPAA8
10.1017_s0003055418000047,10.7910/DVN/TTE3SQ
10.1017_s0003055418000059,10.7910/DVN/KWPEKK
10.1017_s0003055418000084,10.7910/DVN/Q8NRTS
10.1017_s0003055418000096,10.7910/DVN/GJIRV0
10.1017_s0003055418000102,10.7910/DVN/CTZNJV
10.1017_s0003055418000138,10.7910/DVN/ZDYXYI
10.1017_s000305541800014x,10.7910/DVN/SAPQYS
10.1017_s0003055418000151,10.7910/DVN/X8ZRVO
10.1017_s0003055418000175,10.7910/DVN/SJI4IA
10.1017_s0003055418000199,10.7910/DVN/AJHFHU
10.1017_s0003055418000217,10.7910/DVN/FVCGHC
10.1017_s0003055418000242,10.7910/DVN/JSR0OE
10.1017_s0003055418000254,10.7910/DVN/KGVBNC
10.1017_s0003055418000266,10.7910/DVN/DAR56O
10.1017_s000305541800028x,10.7910/DVN/RUQ2KP
10.1017_s0003055418000308,10.7910/DVN/AY32JZ
10.1017_s000305541800031x,10.7910/DVN/PSGCJH
10.1017_s0003055418000333,10.7910/DVN/PCM2O2
10.1017_s0003055418000357,10.7910/DVN/SFBX6Z
10.1017_s0003055418000382,10.7910/DVN/T1TELH
10.1017_s0003055418000412,10.7910/DVN/VTUSLV
10.1017_s0003055418000424,10.7910/DVN/3KOQWQ
10.1017_s0003055418000436,10.7910/DVN/HHMXU3
10.1017_s0003055418000448,10.7910/DVN/UAQZRO
10.1017_s000305541800045x,10.7910/DVN/TI5BPV
10.1017_s0003055418000461,10.7910/DVN/AOTVAU
10.1017_s0003055418000473,10.7910/DVN/KTCXTE
10.1017_s0003055418000485,10.7910/DVN/MO3KOQ
10.1017_s0003055418000497,10.7910/DVN/LFQZVU
10.1017_s0003055418000503,10.7910/DVN/SNW8PV
10.1017_s0003055418000515,10.7910/DVN/YUNDMQ
10.1017_s0003055418000588,10.7910/DVN/YDSRWF
10.1017_s000305541800059x,10.7910/DVN/OWQNVF
10.1017_s0003055418000618,10.7910/DVN/5QUCW7
10.1017_s000305541800062x,10.7910/DVN/UVANPR
10.1017_s0003055418000631,10.7910/DVN/EDRAIQ
10.1017_s0003055418000643,10.7910/DVN/1ZOEEX
10.1017_s0003055418000667,10.7910/DVN/VKOMCK
10.1017_s0003055418000667,10.7910/DVN/INZ3QK
10.1017_s0003055418000679,10.7910/DVN/ARIQT2
10.1017_s0003055418000692,10.7910/DVN/6A2J2T
10.1017_s0003055418000709,10.7910/DVN/CFTMK2
10.1017_s0003055418000710,10.7910/DVN/SQH6IF
10.1017_s0003055418000722,10.7910/DVN/03CDTK
10.1017_s000305541800076x,10.7910/DVN/OOMI57
10.1017_s0003055418000783,10.7910/DVN/YGUHTD
10.1017_s0003055418000795,10.7910/DVN/38BFML
10.1017_s0003055418000801,10.7910/DVN/SEOCQ0
10.1017_s0003055418000813,10.7910/DVN/XGVQDT
10.1017_s0003055418000813,10.7910/DVN/FFEUEH
10.1017_s0003055418000825,10.7910/DVN/D64FNB
10.1017_s0003055418000837,10.7910/DVN/HUKSID
10.1017_s0003055418000849,10.7910/DVN/IANHOG
10.1017_s0003055418000850,10.7910/DVN/XF1157
10.1017_s0003055418000862,10.7910/DVN/5CYWWF
10.1017_s0003055418000886,10.7910/DVN/QTOIQF
10.1017_s0003055418000928,10.7910/DVN/QVY8JO
10.1017_s000305541800093x,10.7910/DVN/TWVXKZ
10.1017_s0003055418000965,10.7910/DVN/G3X4EW
10.1017_s0003055419000017,10.7910/DVN/DHZBAB
10.1017_s0003055419000029,10.7910/DVN/EKZQSZ
10.1017_s0003055419000030,10.7910/DVN/B1HHGV
10.1017_s0003055419000042,10.7910/DVN/AW6L1P
10.1017_s0003055419000066,10.7910/DVN/XKMNAO
10.1017_s0003055419000078,10.7910/DVN/ZJTLSW
10.1017_s000305541900008x,10.7910/DVN/NOWHWG
10.1017_s0003055419000091,10.7910/DVN/8IWRBI
10.1017_s0003055419000108,10.7910/DVN/D7ZXZI
10.1017_s0003055419000121,10.7910/DVN/ZIXH95
10.1017_s0003055419000133,10.7910/DVN/VNHM17
10.1017_s0003055419000145,10.7910/DVN/H1CCWM
10.1017_s0003055419000157,10.7910/DVN/H9XGEB
10.1017_s0003055419000170,10.7910/DVN/RRBPUD
10.1017_s0003055419000182,10.7910/DVN/NFZLI3
10.1017_s0003055419000194,10.7910/DVN/XYT1VB
10.1017_s0003055419000200,10.7910/DVN/F9RCKB
10.1017_s000305541900025x,10.7910/DVN/EB8DD8
10.1017_s0003055419000285,10.7910/DVN/NNNPOU
10.1017_s0003055419000315,10.7910/DVN/MCWFCS
10.1017_s0003055419000327,10.7910/DVN/UHUK4P
10.1017_s0003055419000340,10.7910/DVN/9B8HQN
10.1017_s0003055419000352,10.7910/DVN/AA96D2
10.1017_s0003055419000418,10.7910/DVN/MM2VWC
10.1017_s000305541900042x,10.7910/DVN/WVBZNE
10.1017_s0003055419000443,10.7910/DVN/OLTXFC
10.1017_s0003055419000467,10.7910/DVN/M4ARI7
10.1017_s0003055419000479,10.7910/DVN/W8HUKY
10.1017_s0003055419000480,10.7910/DVN/LMW871
10.1017_s0003055419000492,10.7910/DVN/Z7P7RL
10.1017_s0003055419000510,10.7910/DVN/IN6SFG
10.1017_s0003055419000522,10.7910/DVN/FF3DQM
10.1017_s0003055419000534,10.7910/DVN/RJL2DK
10.1017_s0003055419000558,10.7910/DVN/FECIO3
10.1017_s000305541900056x,10.7910/DVN/FTYHPJ
10.1017_s000305541900056x,10.7910/DVN/DRSACA
10.1017_s0003055419000613,10.7910/DVN/CFASH6
10.1017_s0003055419000637,10.7910/DVN/PUIJIU
10.1017_s0003055419000649,10.7910/DVN/VGWNP9
10.1017_s0003055419000650,10.7910/DVN/9AMKHL
10.1017_s0003055419000698,10.7910/DVN/AQHPTT
10.1017_s0003055419000704,10.7910/DVN/HDGUDZ
10.1017_s0003055419000716,10.7910/DVN/OARGFC
10.1017_s0003055419000741,10.7910/DVN/9OK6RH
