Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold,
JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,0889-1583,1095-8681,"INTERNATIONAL RELATIONS - SSCI","931",1.559,"Q3",0.68,5.26%,
International Journal of Transitional Justice,1752-7716,1752-7724,"INTERNATIONAL RELATIONS - SSCI","816",1.550,"Q3",0.97,12.09%,
OCEAN DEVELOPMENT AND INTERNATIONAL LAW,0090-8320,1521-0642,"INTERNATIONAL RELATIONS - SSCI","388",1.541,"Q3",1.27,3.64%,
REVIEW OF WORLD ECONOMICS,1610-2878,1610-2886,"INTERNATIONAL RELATIONS - SSCI","1,286",1.517,"Q3",0.60,14.71%,
WASHINGTON QUARTERLY,0163-660X,1530-9177,"INTERNATIONAL RELATIONS - SSCI","833",1.500,"Q3",1.22,1.71%,
Journal of European Integration,0703-6337,1477-2280,"INTERNATIONAL RELATIONS - SSCI","1,436",1.483,"Q3",1.05,8.41%,
WORLD ECONOMY,0378-5920,1467-9701,"INTERNATIONAL RELATIONS - SSCI","3,972",1.450,"Q3",0.64,8.33%,
AUSTRALIAN JOURNAL OF INTERNATIONAL AFFAIRS,1035-7718,1465-332X,"INTERNATIONAL RELATIONS - SSCI","602",1.411,"Q3",0.67,0.78%,
Chinese Journal of International Law,1540-1650,1746-9937,"INTERNATIONAL RELATIONS - SSCI","326",1.395,"Q3",0.76,7.55%,
INTERNATIONAL INTERACTIONS,0305-0629,1547-7444,"INTERNATIONAL RELATIONS - SSCI","1,404",1.372,"Q3",0.87,4.29%,
STANFORD JOURNAL OF INTERNATIONAL LAW,0731-5082,N/A,"INTERNATIONAL RELATIONS - SSCI","167",1.357,"Q3",0.83,0.00%,
Journal of Contemporary European Studies,1478-2804,1478-2790,"INTERNATIONAL RELATIONS - SSCI","455",1.355,"Q3",0.92,4.51%,
Intelligence and National Security,0268-4527,1743-9019,"INTERNATIONAL RELATIONS - SSCI","903",1.326,"Q3",1.35,3.70%,
Contemporary Southeast Asia,0129-797X,1793-284X,"INTERNATIONAL RELATIONS - SSCI","513",1.300,"Q3",0.81,0.00%,
LATIN AMERICAN POLITICS AND SOCIETY,1531-426X,1548-2456,"INTERNATIONAL RELATIONS - SSCI","800",1.255,"Q3",0.93,1.32%,
SPACE POLICY,0265-9646,1879-338X,"INTERNATIONAL RELATIONS - SSCI","427",1.231,"Q4",0.66,0.00%,
Revista Brasileira de Politica Internacional,0034-7329,N/A,"INTERNATIONAL RELATIONS - SSCI","307",1.114,"Q4",0.20,100.00%,
ALTERNATIVES,0304-3754,2163-3150,"INTERNATIONAL RELATIONS - SSCI","686",1.095,"Q4",0.26,6.67%,
COMMUNIST AND POST-COMMUNIST STUDIES,0967-067X,1873-6920,"INTERNATIONAL RELATIONS - SSCI","869",1.062,"Q4",0.60,0.91%,
JOURNAL OF WORLD TRADE,1011-6702,2210-2795,"INTERNATIONAL RELATIONS - SSCI","452",0.977,"Q4",0.78,0.00%,
GLOBAL GOVERNANCE,1075-2846,1942-6720,"INTERNATIONAL RELATIONS - SSCI","1,123",0.877,"Q4",0.57,13.33%,
International Politics,1384-5748,1740-3898,"INTERNATIONAL RELATIONS - SSCI","653",0.874,"Q4",0.50,5.46%,
INTERNATIONAL JOURNAL,0020-7020,2052-465X,"INTERNATIONAL RELATIONS - SSCI","513",0.836,"Q4",0.44,8.33%,
Asian Perspective,0258-9184,0258-9184,"INTERNATIONAL RELATIONS - SSCI","324",0.800,"Q4",0.36,0.00%,
CORNELL INTERNATIONAL LAW JOURNAL,0010-8812,1930-7977,"INTERNATIONAL RELATIONS - SSCI","373",0.720,"Q4",0.54,0.00%,
Journal of Human Rights,1475-4835,1475-4843,"INTERNATIONAL RELATIONS - SSCI","535",0.694,"Q4",0.47,4.24%,
International Journal of Conflict and Violence,1864-1385,1864-1385,"INTERNATIONAL RELATIONS - SSCI","390",0.643,"Q4",0.55,100.00%,
Asian Journal of WTO & International Health Law and Policy,1819-5164,N/A,"INTERNATIONAL RELATIONS - SSCI","86",0.611,"Q4",0.42,0.00%,
WAR IN HISTORY,0968-3445,1477-0385,"INTERNATIONAL RELATIONS - SSCI","209",0.558,"Q4",0.86,11.46%,
Pacific Focus,1225-4657,1976-5118,"INTERNATIONAL RELATIONS - SSCI","163",0.553,"Q4",0.49,0.00%,
COLUMBIA JOURNAL OF TRANSNATIONAL LAW,0010-1931,2159-1814,"INTERNATIONAL RELATIONS - SSCI","331",0.515,"Q4",0.35,0.00%,
Journal of Cold War Studies,1520-3972,1531-3298,"INTERNATIONAL RELATIONS - SSCI","345",0.480,"Q4",0.43,0.00%,
MIDDLE EAST POLICY,1061-1924,1475-4967,"INTERNATIONAL RELATIONS - SSCI","462",0.475,"Q4",0.53,0.85%,
KOREAN JOURNAL OF DEFENSE ANALYSIS,1016-3271,1941-4641,"INTERNATIONAL RELATIONS - SSCI","104",0.413,"Q4",0.12,0.00%,
CURRENT HISTORY,0011-3530,1944-785X,"INTERNATIONAL RELATIONS - SSCI","357",0.386,"Q4",0.17,0.00%,
Uluslararasi Iliskiler-International Relations,1304-7310,N/A,"INTERNATIONAL RELATIONS - SSCI","132",0.338,"Q4",0.15,0.00%,
Korea Observer,0023-3919,0023-3919,"INTERNATIONAL RELATIONS - SSCI","150",0.286,"Q4",0.27,0.00%,
Diplomacy & Statecraft,0959-2296,1557-301X,"INTERNATIONAL RELATIONS - SSCI","236",0.264,"Q4",0.57,8.49%,
INTERNASJONAL POLITIKK,0020-577X,1891-1757,"INTERNATIONAL RELATIONS - SSCI","54",0.264,"Q4",0.15,100.00%,
IPRI Journal,1684-9787,1684-9809,"INTERNATIONAL RELATIONS - ESCI","30",n/a,"n/a",0.17,0.00%,
Global Society,1360-0826,1469-798X,"INTERNATIONAL RELATIONS - ESCI","501",n/a,"n/a",0.72,3.67%,
Revista UNISCI,N/A,2386-9453,"INTERNATIONAL RELATIONS - ESCI","57",n/a,"n/a",0.07,100.00%,
Foro Internacional,0185-013X,2448-6523,"INTERNATIONAL RELATIONS - ESCI","130",n/a,"n/a",0.09,100.00%,
Strategic Analysis,0970-0161,1754-0054,"INTERNATIONAL RELATIONS - ESCI","265",n/a,"n/a",0.31,0.00%,
Asia-Pacific Review,1343-9006,1469-2937,"INTERNATIONAL RELATIONS - ESCI","96",n/a,"n/a",0.25,0.00%,
Security Challenges,1833-1459,1833-1459,"INTERNATIONAL RELATIONS - ESCI","75",n/a,"n/a",0.17,0.00%,
ETUDES INTERNATIONALES,0014-2123,1703-7891,"INTERNATIONAL RELATIONS - ESCI","30",n/a,"n/a",0.03,0.00%,
African Security Review,1024-6029,2154-0128,"INTERNATIONAL RELATIONS - ESCI","246",n/a,"n/a",0.32,0.00%,
Canadian Foreign Policy,1192-6422,2157-0817,"INTERNATIONAL RELATIONS - ESCI","184",n/a,"n/a",0.43,0.00%,
International Spectator,0393-2729,1751-9721,"INTERNATIONAL RELATIONS - ESCI","517",n/a,"n/a",0.69,7.34%,
Naval War College Review,0028-1484,0028-1484,"INTERNATIONAL RELATIONS - ESCI","263",n/a,"n/a",0.31,0.00%,
Science & Global Security,0892-9882,1547-7800,"INTERNATIONAL RELATIONS - ESCI","114",n/a,"n/a",0.46,0.00%,
Hague Journal of Diplomacy,1871-1901,1871-191X,"INTERNATIONAL RELATIONS - ESCI","232",n/a,"n/a",0.46,15.56%,
Relaciones Internacionales,1515-3371,2314-2766,"INTERNATIONAL RELATIONS - ESCI","12",n/a,"n/a",0.02,100.00%,
Small Wars and Insurgencies,0959-2318,1743-9558,"INTERNATIONAL RELATIONS - ESCI","507",n/a,"n/a",0.52,2.38%,
Cuadernos Europeos de Deusto,1130-8354,2445-3587,"INTERNATIONAL RELATIONS - ESCI","13",n/a,"n/a",0.14,100.00%,
Defence and Security Analysis,1475-1798,1475-1801,"INTERNATIONAL RELATIONS - ESCI","144",n/a,"n/a",0.33,2.35%,
Conflict Security & Development,1467-8802,1478-1174,"INTERNATIONAL RELATIONS - ESCI","536",n/a,"n/a",0.94,17.98%,
Mexico y la Cuenca del Pacifico,1665-0174,N/A,"INTERNATIONAL RELATIONS - ESCI","5",n/a,"n/a",n/a,15.22%,
Global Trade and Customs Journal,1569-755X,1875-6468,"INTERNATIONAL RELATIONS - ESCI","41",n/a,"n/a",0.13,0.00%,
Journal of Human Rights Practice,1757-9619,1757-9627,"INTERNATIONAL RELATIONS - ESCI","321",n/a,"n/a",0.72,9.28%,
International Area Studies Review,2233-8659,2049-1123,"INTERNATIONAL RELATIONS - ESCI","198",n/a,"n/a",0.38,3.23%,
Relaciones Internacionales-Madrid,1699-3950,1699-3950,"INTERNATIONAL RELATIONS - ESCI","45",n/a,"n/a",0.06,100.00%,
