dv_doi,paper_doi
10.7910/DVN/URLD7U,10.1016/j.electstud.2020.102133
10.7910/DVN/28963,10.1016/j.electstud.2013.06.001
10.7910/DVN/YHOCO8,10.1016/j.electstud.2021.102307
10.7910/DVN/TIE40K,10.1016/j.electstud.2021.102301
10.7910/DVN/PGGTQ5,10.1016/j.electstud.2021.102329
10.7910/DVN/YMCHMU,10.1016/j.electstud.2021.102347
10.7910/DVN/QGDVCA,10.1016/j.electstud.2012.02.010
10.7910/DVN/B5SWDJ,10.1016/j.electstud.2019.102066
10.7910/DVN/LBRAFG,10.1016/j.electstud.2019.04.009
10.7910/DVN/BHEM8T,10.1016/j.electstud.2016.06.010
10.7910/DVN/P3HJGS,10.1016/j.electstud.2019.04.004
10.7910/DVN/K2TLDB,10.1016/j.electstud.2015.12.002
10.7910/DVN/OGRK7I,10.1016/j.electstud.2021.102366
10.7910/DVN/RT6HI7,10.1016/j.electstud.2013.01.005
10.7910/DVN/EUWXEZ,10.1016/j.electstud.2014.10.006
10.7910/DVN/9V0LLB,10.1016/j.electstud.2016.04.001
10.7910/DVN/9D70YP,10.1016/j.electstud.2018.09.009
10.7910/DVN/AESELE,10.1016/j.electstud.2018.10.005
10.7910/DVN/DWSF6L,10.1016/j.electstud.2019.04.002
,10.1080/1540496x.2015.1074486
10.7910/DVN/TNVFDB,10.2753/ree1540-496x480202
10.7910/DVN/0LUIZM,10.1080/09644016.2016.1144271
10.7910/DVN/Q1VWG4,10.1080/09644016.2019.1589037
10.7910/DVN/ANAJCK,10.1080/09644016.2018.1457287
10.7910/DVN/4YU9LJ,10.1080/09644016.2019.1708186
10.7910/DVN/2V2LGK,10.1080/09644016.2019.1629171
,10.1080/09668136.2019.1662229
10.7910/DVN/IIYY15,10.1080/09668136.2015.1054260
10.7910/DVN/80ZCG1,10.1177/1354066115581910
10.7910/DVN/BML2B1,10.1177/1354066119850622
,10.1016/j.ejpoleco.2010.10.002
10.7910/DVN/27626,10.1111/1475-6765.12390
10.7910/DVN/OG0WBZ,10.1111/1475-6765.12366
10.7910/DVN/PMPSWJ,10.1111/1475-6765.12210
10.7910/DVN/NDJY0J,10.1111/1475-6765.12350
10.7910/DVN/PQJQ0K,10.1111/1475-6765.12149
10.7910/DVN/QP3E0E,10.1111/1475-6765.12286
10.7910/DVN/4NLFSW,10.1111/1475-6765.12299
10.7910/DVN/F5RWPW,10.1111/1475-6765.12030
10.7910/DVN/ACUDFD,10.1111/1475-6765.12159
10.7910/DVN/29060,10.1111/j.1475-6765.2009.01888.x
10.7910/DVN/II7FGU,10.1111/j.1475-6765.2012.02056.x
10.7910/DVN/BWU4M5,10.1111/1475-6765.12410
10.7910/DVN/KYVPKZ,10.1017/s1755773919000250
10.7910/DVN/KVPEVE,10.1017/s1755773921000011
10.7910/DVN/TFV1HT,10.1017/s1755773920000259
10.7910/DVN/XMSF5Z,10.1017/s1755773910000214
10.7910/DVN/EFGYC9,10.1017/s1755773918000036
10.7910/DVN/NFIFH6,10.1017/s1755773910000196
10.7910/DVN/82GIUZ,10.1017/s1755773913000271
10.7910/DVN/K3Z3NX,10.1177/1465116520910476
10.7910/DVN/LDV1EZ,10.1177/1465116517729539
10.7910/DVN/GL1QJE,10.1177/1465116517733819
10.7910/DVN/WUVHJP,10.1177/1465116518760242
10.7910/DVN/DLACHP,10.1177/1465116516662155
10.7910/DVN/SVJ6S3,10.1177/1465116516630151
10.7910/DVN/NWZKRL,10.1177/1465116515618252
10.7910/DVN/LD8MDG,10.1177/1465116510369266
10.7910/DVN/5HC6SV,10.1177/1465116518773486
10.7910/DVN/27391,10.1177/1465116514527179
10.7910/DVN/PFMRS6,10.1177/1465116518769753
10.7910/DVN/VPLNUF,10.1177/1465116511428495
10.7910/DVN/QTFKID,10.1177/1465116513501908
10.7910/DVN/T0JSVN,10.1111/j.1743-8594.2010.0104.x
10.7910/DVN/3AJ7ZX,10.1111/j.1743-8594.2012.00190.x
10.7910/DVN/LUSKZH,10.1111/j.1743-8594.2012.00193.x
10.7910/DVN/VUMBKB,10.1093/isafpa/orx013
10.7910/DVN/G29DGC,10.1111/fpa.12057
10.7910/DVN/LOPO9L,10.1111/fpa.12079
10.7910/DVN/YAAUMQ,10.1111/fpa.12083
10.7910/DVN/HJQKTH,10.1093/fpa/orx008
10.7910/DVN/XLQYWH,10.1093/fpa/orz012
10.7910/DVN/PUQK4A,10.1093/fpa/orz015
10.7910/DVN/ETEJJF,10.1093/fpa/orz023
10.7910/DVN/H9SFQO,10.1111/j.1743-8594.2011.00151.x
10.7910/DVN/NZFZAW,10.1111/fpa.12010
10.7910/DVN/25389,10.1111/fpa.12014
10.7910/DVN/VOVFDU,10.1111/fpa.12020
10.7910/DVN/HAMSQO,10.1111/fpa.12007
10.7910/DVN/ZZOJQC,10.1111/fpa.12049
10.7910/DVN/2F3GAT,10.1111/fpa.12050
10.7910/DVN/BBECXP,10.1111/j.1743-8594.2012.00183.x
10.7910/DVN/ZOYYMJ,10.1111/fpa.12061
10.7910/DVN/ZFEBHI,10.1111/fpa.12080
10.7910/DVN/27245,10.1111/fpa.12075
10.7910/DVN/LL7RGJ,10.1111/fpa.12078
10.7910/DVN/EK1WTZ,10.1111/fpa.12086
10.7910/DVN/3D1GD3,10.1111/fpa.12076
10.7910/DVN/KMLYEY,10.1111/j.1743-8594.2011.00143.x
10.7910/DVN/CSDWHN,10.1111/fpa.12092
10.7910/DVN/VQATCM,10.1093/fpa/orx002
10.7910/DVN/FII5ZL,10.1093/fpa/orx009
10.7910/DVN/DX4HLQ,10.1111/fpa.12087
10.7910/DVN/27396,10.1111/fpa.12011
10.7910/DVN/UWZ72M,10.1093/fpa/orz006
10.7910/DVN/UNIGJT,10.1093/isafpa/ory006
10.7910/DVN/0TIKAL,10.1093/fpa/ory004
10.7910/DVN/SHK9QJ,10.1111/fpa.12001
10.7910/DVN/GBQS6G,10.1093/fpa/ory003
10.7910/DVN/U1WZ0E,10.1093/fpa/oraa006
10.7910/DVN/PQJ2RX,10.1093/fpa/oraa012
10.7910/DVN/KGSGPW,10.1093/fpa/oraa016
10.7910/DVN/5WD0ZH,10.1111/fpa.12013
10.7910/DVN/I3JH3G,10.1111/fpa.12015
10.7910/DVN/2YI6DY,10.1111/fpa.12032
10.7910/DVN/5SPLEY,10.1093/fpa/orw065
10.7910/DVN/KIW6VX,10.1093/fpa/orz018
10.7910/DVN/OCGMZV,10.1093/fpa/ory016
10.7910/DVN/HURLOT,10.1111/j.1743-8594.2012.00189.x
10.7910/DVN/ZBGVYX,10.1111/j.1743-8594.2011.00138.x
10.7910/DVN/4UZU8I,10.1111/fpa.12031
10.7910/DVN/ZVQ90X,10.1093/fpa/orz031
10.7910/DVN/CUSP4K,10.1111/j.1743-8594.2010.00123.x
10.7910/DVN/59HSGE,10.1111/fpa.12019
10.7910/DVN/9GFUX9,10.1093/fpa/orz024
10.7910/DVN/3MNPJ1,10.1111/j.1743-8594.2012.00192.x
10.7910/DVN/T8DAS1,10.1093/fpa/oraa010
10.7910/DVN/LGR5Q7,10.1111/j.1743-8594.2010.00122.x
10.7910/DVN/HK6PKL,10.1111/fpa.12004
10.7910/DVN/ZXIDXZ,10.1111/fpa.12090
10.7910/DVN/RYPUEF,10.1111/fpa.12046
10.7910/DVN/472BUO,10.1111/fpa.12005
10.7910/DVN/UWVQRG,10.1093/fpa/orz020
10.7910/DVN/BSWGDU,10.1093/fpa/orx005
10.7910/DVN/KV9RY4,10.1111/fpa.12034
10.7910/DVN/LHUDKV,10.1093/fpa/orz005
10.7910/DVN/J1ORCJ,10.1093/fpa/orab009
10.7910/DVN/GERMANPOLLYVOTE2013,10.1080/09644008.2015.1024240
10.7910/DVN/E3INNM,10.1162/glep_a_00167
10.7910/DVN/UWEXVS,10.1162/glep_a_00577
10.7910/DVN/PUDA4S,10.1162/glep_a_00585
10.18710/VH95QC,10.1111/gove.12481
10.7910/DVN/FYHJJB,10.1111/gove.12498
10.7910/DVN/MY6CVY,10.1111/gove.12526
10.7910/DVN/NHZAFU,10.1111/gove.12525
10.7910/DVN/7EHMQK,10.1111/j.1468-0491.2012.01574.x
10.7910/DVN/GAASQW,10.1111/gove.12372
10.7910/DVN/AEZKFD,10.1111/gove.12388
,10.1017/gov.2015.31
10.7910/DVN/PBB57U,10.1017/gov.2019.30
10.7910/DVN/M6KAXY,10.1017/gov.2014.8
10.7910/DVN/9SDLMK,10.1093/ia/iiy195
10.7910/DVN/TCHCSD,10.1093/ia/iix119
10.7910/DVN/ZK3FYV,10.1093/ia/iix196
10.7910/DVN/Q90FOB,10.1093/ia/iiaa069
,10.1093/ia/iiab015
10.7910/DVN/FKD6ZU,10.1007/s10784-014-9257-2
10.7910/DVN/25575,10.1080/03050629.2013.863190
10.7910/DVN/29330,10.1080/03050629.2014.896799
10.7910/DVN/2LY2WB,10.1080/03050629.2019.1522310
10.7910/DVN/PIPV3O,10.1080/03050629.2016.1093475
10.7910/DVN/25576,10.1080/03050629.2013.863192
10.7910/DVN/XTO8SK,10.1080/03050629.2016.1100611
10.7910/DVN/RXWV0T,10.1080/03050629.2018.1492385
10.7910/DVN/EHRNTO,10.1080/03050629.2018.1492384
10.7910/DVN/O3KPOQ,10.1080/03050629.2018.1504780
10.7910/DVN/OQPGPZ,10.1080/03050629.2018.1508463
10.7910/DVN/W8TQHB,10.1080/03050629.2016.1115760
10.7910/DVN/G76EDS,10.1080/03050629.2019.1522308
10.7910/DVN/KPKZTM,10.1080/03050629.2019.1525137
10.7910/DVN/AIR5ZR,10.1080/03050629.2019.1522311
10.7910/DVN/CI1J5T,10.1080/03050629.2016.1140452
10.7910/DVN/TMB5YV,10.1080/03050629.2019.1538047
10.7910/DVN/BJX91O,10.1080/03050629.2019.1554570
10.7910/DVN/ZWOOHV,10.1080/03050629.2016.1173546
10.7910/DVN/EMRZDP,10.1080/03050629.2012.657946
10.7910/DVN/UBWGLG,10.1080/03050629.2017.1236925
10.7910/DVN/8PKAI0,10.1080/03050629.2012.676511
10.7910/DVN/29528,10.1080/03050629.2014.942898
10.7910/DVN/CZGS8E,10.1080/03050629.2017.1260012
10.7910/DVN/X8FRDM,10.1080/03050629.2012.726151
10.7910/DVN/79RP6Q,10.1080/03050629.2013.751305
10.7910/DVN/TOWHUL,10.1080/03050629.2013.749750
10.7910/DVN/UE44I9,10.1080/03050629.2017.1320995
10.7910/DVN/GE7RTH,10.1080/03050629.2017.1345737
10.7910/DVN/8ZFFWE,10.1080/03050629.2017.1369411
10.7910/DVN/5VVOFN,10.1080/03050629.2018.1382489
10.7910/DVN/T73AGU,10.1080/03050629.2018.1383907
10.7910/DVN/23093,10.1080/03050629.2013.834260
10.7910/DVN/25577,10.1080/03050629.2013.863191
10.7910/DVN/25832,10.1080/03050629.2014.880698
10.7910/DVN/29533,10.1080/03050629.2015.982117
10.7910/DVN/29085,10.1080/03050629.2014.892874
10.7910/DVN/29083,10.1080/03050629.2014.892873
,10.1080/03050629.2014.918443
10.7910/DVN/29335,10.1080/03050629.2014.897233
10.7910/DVN/29331,10.1080/03050629.2014.899220
10.7910/DVN/29532,10.1080/03050629.2014.932786
10.7910/DVN/29290,10.1080/03050629.2015.969370
10.7910/DVN/29288,10.1080/03050629.2014.948153
10.7910/DVN/29268,10.1080/03050629.2015.964401
10.7910/DVN/29537,10.1080/03050629.2015.1006728
10.7910/DVN/LN9WDR,10.1080/03050629.2015.1051620
10.7910/DVN/G3WF1H,10.1080/03050629.2016.1128429
10.7910/DVN/KT4XKZ,10.1080/03050629.2015.1069292
10.7910/DVN/RAV9OA,10.1080/03050629.2018.1492383
10.7910/DVN/WW8FEY,10.1080/03050629.2017.1369412
10.7910/DVN/AVHTOB,10.1080/03050629.2010.502453
10.7910/DVN/ZBI7C9,10.1080/03050629.2010.502424
10.7910/DVN/KUUULZ,10.1080/03050629.2010.524509
10.7910/DVN/QEIMQK,10.1080/03050629.2010.523668
10.7910/DVN/IECUVN,10.1080/03050629.2011.569233
10.7910/DVN/GD0P0G,10.1080/03050629.2011.568845
10.7910/DVN/NEFFSP,10.1080/03050629.2011.568855
10.7910/DVN/P1H0IM,10.1080/03050629.2011.568838
10.7910/DVN/DCYDHS,10.1080/03050629.2017.1367294
10.7910/DVN/ADTDEC,10.1080/03050629.2019.1684913
10.7910/DVN/TVFD2Y,10.1080/03050629.2019.1687466
10.7910/DVN/IZ1ZCK,10.1080/03050629.2017.1226668
10.7910/DVN/HSLZCJ,10.1080/03050629.2012.640254
10.7910/DVN/SCDCTZ,10.1080/03050629.2012.726183
10.7910/DVN/BEEQAV,10.1080/03050629.2012.676516
10.7910/DVN/WKI9Z1,10.1080/03050629.2012.697048
10.7910/DVN/XZIXBF,10.1080/03050629.2012.696981
10.7910/DVN/0IFEFS,10.1080/03050629.2012.657602
10.7910/DVN/NKOGN5,10.1080/03050629.2016.1210943
10.7910/DVN/T1SHGU,10.1080/03050629.2013.749748
10.7910/DVN/H77B8C,10.1080/03050629.2013.768458
10.7910/DVN/FIRWJT,10.1080/03050629.2013.782305
10.7910/DVN/KFRNDP,10.1080/03050629.2013.805326
10.7910/DVN/FOWP6Q,10.1080/03050629.2018.1448806
10.7910/DVN/XI4YKD,10.1080/03050629.2018.1429427
10.7910/DVN/FEMVRV,10.1080/03050629.2018.1406931
10.7910/DVN/MKKIL2,10.1080/03050629.2017.1414811
10.7910/DVN/23092,10.1080/03050629.2013.834257
10.7910/DVN/SJN8ZE,10.1080/03050629.2017.1311257
10.7910/DVN/QOISN3,10.1080/03050629.2017.1311330
10.7910/DVN/NRTKNI,10.1080/03050629.2017.1257491
10.7910/DVN/66RBZS,10.1080/03050629.2017.1237944
10.7910/DVN/WHLV6J,10.1080/03050629.2011.546229
